iter	Passed	Remaining
0	1	124
1	2	113
2	3	113
3	4	109
4	5	112
5	7	110
6	8	107
7	9	105
8	10	102
9	11	99
10	11	96
11	12	93
12	13	91
13	14	88
14	15	86
15	16	84
16	16	82
17	17	80
18	18	79
19	19	77
20	20	75
21	21	74
22	21	73
23	22	72
24	23	71
25	24	69
26	25	68
27	26	67
28	26	66
29	27	64
30	28	63
31	29	62
32	30	61
33	30	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	45
48	43	44
49	44	44
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	51	36
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	32
64	57	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	64	24
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	74	14
84	75	13
85	76	12
86	77	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	82	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
